timestamp,sensor_id,value
2026-05-10T08:00:00,temperature,21.6
2026-05-10T08:01:00,humidity,46.2
2026-05-10T08:02:00,pressure,1008.4
2026-05-10T08:03:00,light,320
2026-05-10T09:00:00,temperature,22.8
2026-05-10T09:01:00,humidity,48.1
2026-05-10T09:02:00,pressure,1009.0
2026-05-10T09:03:00,light,510
2026-05-10T10:00:00,temperature,24.1
2026-05-10T10:01:00,humidity,50.4
2026-05-10T10:02:00,pressure,1009.8
2026-05-10T10:03:00,light,780
2026-05-10T11:00:00,temperature,28.9
2026-05-10T11:01:00,humidity,63.5
2026-05-10T11:02:00,pressure,1011.1
2026-05-10T11:03:00,light,1520
2026-05-10T12:00:00,temperature,31.8
2026-05-10T12:01:00,humidity,71.2
2026-05-10T12:02:00,pressure,1038.5
2026-05-10T12:03:00,light,18400
2026-05-10T13:00:00,temperature,36.7
2026-05-10T13:01:00,humidity,18.4
2026-05-10T13:02:00,pressure,947.9
2026-05-10T13:03:00,light,14
2026-05-10T14:00:00,temperature,25.0
2026-05-10T14:01:00,humidity,55.0
2026-05-10T14:02:00,pressure,1010.2
2026-05-10T14:03:00,light,620
bad-timestamp,temperature,23.4
2026-05-10T15:01:00,humidity,not_a_number
2026-05-10T15:02:00,unknown_sensor,123
