timestamp,sensor_id,value
2026-05-11T08:00:00,temperature,19.8
2026-05-11T08:01:00,humidity,44.7
2026-05-11T08:02:00,pressure,1007.6
2026-05-11T08:03:00,light,280
2026-05-11T09:00:00,temperature,20.9
2026-05-11T09:01:00,humidity,47.9
2026-05-11T09:02:00,pressure,1008.3
2026-05-11T09:03:00,light,450
2026-05-11T10:00:00,temperature,23.5
2026-05-11T10:01:00,humidity,52.1
2026-05-11T10:02:00,pressure,1009.1
2026-05-11T10:03:00,light,860
2026-05-11T11:00:00,temperature,29.7
2026-05-11T11:01:00,humidity,68.8
2026-05-11T11:02:00,pressure,1034.2
2026-05-11T11:03:00,light,14950
2026-05-11T12:00:00,temperature,34.5
2026-05-11T12:01:00,humidity,84.9
2026-05-11T12:02:00,pressure,1056.4
2026-05-11T12:03:00,light,18120
2026-05-11T13:00:00,temperature,12.0
2026-05-11T13:01:00,humidity,23.5
2026-05-11T13:02:00,pressure,949.0
2026-05-11T13:03:00,light,25
2026-05-11T14:00:00,temperature,22.2
2026-05-11T14:01:00,humidity,49.6
2026-05-11T14:02:00,pressure,1010.0
2026-05-11T14:03:00,light,700
2026-05-11T15:00:00,temperature,
2026-05-11T15:01:00,humidity,101
2026-05-11T15:02:00,pressure,849
